20963,#doc=muzika.2.txt,,,,,,,,,,,,,,
20964,1,﻿,﻿,PUNC,,,,,,,,,PUNC,﻿,PUNC
20965,2,Данаа,ДАНА,persn,,,а,а,н,а,д,,S,ДАНАА,S m inan nonflex nonflex
20966,3,@,@,PUNC,,,,,,,,,PUNC,@,PUNC
20967,4,И,И,CONJ,,,и,,,,,,S,И,S - - nonflex nonflex
20968,5,как,КАК,ADV -,,,к,а,к,,,,ADV,КАК,ADV -
20969,6,он,ОН,SPRO sg 3p m nom,,,н,о,,,,,SPRO,ОН,SPRO sg 3p m nom
20970,7,прошел,ПРОЙТИ,V pf praet sg indic m -,,,л,е,ш,о,р,п,V,ПРОЙТИ,V pf praet sg indic m -
20971,8,?,?,SENT,,,,,,,,,SENT,?,SENT
20972,,,,,,,,,,,,,,,
20973,1,Лера,ЛЕРА,persn,,,а,р,е,л,,,S,ЛЕРА,S - anim nom sg
20974,2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC
20975,3,Это,ЭТО,SPRO inan sg nom ,,,о,т,э,,,,PART,ЭТО,PART
20976,4,брит,БРИТ,new слитно,,,т,и,р,б,,,PARTCP,БРИТЬ,PARTCP ipf praet - sg brev m pass -
20977,5,-,-,PUNC,,,,,,,,,PUNC,-,PUNC
20978,6,поп,ПОП,new слитно,,,п,о,п,,,,S,ПОП,S m anim nom sg
20979,7,",",",",PUNC,,,,,,,,,PUNC,",",PUNC
20980,8,кстати,КСТАТИ,PARENTH,,,и,т,а,т,с,к,ADV,КСТАТИ,ADV -
20981,9,.,.,SENT,,,,,,,,,SENT,.,SENT
20982,,,,,,,,,,,,,,,
20983,1,Брит,БРИТ,new слитно,,,т,и,р,б,,,PARTCP,БРИТЬ,PARTCP ipf praet - sg brev m pass -
20984,2,-,-,PUNC,,,,,,,,,PUNC,-,PUNC
20985,3,поп,ПОП,new слитно,,,п,о,п,,,,S,ПОП,S m anim nom sg
20986,4,<,<,PUNC,,,,,,,,,PUNC,<,PUNC
20987,5,distinct,DISTINCT,NONLEX,,,,,,,,,NONLEX,DISTINCT,NONLEX
20988,6,form,FORM,NONLEX,,,,,,,,,NONLEX,FORM,NONLEX
20989,7,=,=,PUNC,,,,,,,,,PUNC,=,PUNC
20990,8,	,_,,,,,,,,,,,_,9
20991,9,этаа,ЭТО,distort,,,а,а,т,э,,,S,ЭТАА,S f inan nonflex nonflex
20992,10,	,_,,,,,,,,,,,_,9
20993,11,>,>,PUNC,,,,,,,,,PUNC,>,PUNC
20994,12,это,ЭТО,SPRO inan sg nom ,,,о,т,э,,,,S,ЭТО,S n - acc sg
20995,13,<,<,PUNC,,,,,,,,,PUNC,<,PUNC
20996,14,/,/,PUNC,,,,,,,,,PUNC,/,PUNC
20997,15,distinct,DISTINCT,NONLEX,,,,,,,,,NONLEX,DISTINCT,NONLEX
20998,16,>,>,PUNC,,,,,,,,,PUNC,>,PUNC
20999,17,..,..,SENT,,,,,,,,,SENT,..,SENT
21000,,,,,,,,,,,,,,,
21001,1,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom
21002,2,даже,ДАЖЕ,PART,,,е,ж,а,д,,,PART,ДАЖЕ,PART
21003,3,не,НЕ,PART,,,е,н,,,,,PART,НЕ,PART
21004,4,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,,ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p
21005,5,",",",",PUNC,,,,,,,,,PUNC,",",PUNC
21006,6,он,ОН,SPRO sg 3p m nom,,,н,о,,,,,SPRO,ОН,SPRO sg 3p m nom
21007,7,более,МНОГО,ADV comp,,,е,е,л,о,б,,ADV,БОЛЕЕ,ADV -
21008,8,такой,ТАКОЙ,A - nom sg plen m -,,,й,о,к,а,т,,A,ТАКОЙ,A - nom sg plen m -
21009,9,",",",",PUNC,,,,,,,,,PUNC,",",PUNC
21010,10,как,КАК,ADV -,,,к,а,к,,,,ADV,КАК,ADV -
21011,11,.,.,SENT,,,,,,,,,SENT,.,SENT
21012,,,,,,,,,,,,,,,
21013,1,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom
21014,2,не,НЕ,PART,,,е,н,,,,,PART,НЕ,PART
21015,3,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,,ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p
21016,4,<,<,PUNC,,,,,,,,,PUNC,<,PUNC
21017,5,distinct,DISTINCT,NONLEX,,,,,,,,,NONLEX,DISTINCT,NONLEX
21018,6,form,FORM,NONLEX,,,,,,,,,NONLEX,FORM,NONLEX
21019,7,=,=,PUNC,,,,,,,,,PUNC,=,PUNC
21020,8,	,_,,,,,,,,,,,_,9
21021,9,кык,КАК,CONJ,,,к,ы,к,,,,S,КЫК,S f anim nom sg
21022,10,	,_,,,,,,,,,,,_,9
21023,11,>,>,PUNC,,,,,,,,,PUNC,>,PUNC
21024,12,как,КАК,ADV -,,,к,а,к,,,,ADV,КАК,ADV -
21025,13,<,<,PUNC,,,,,,,,,PUNC,<,PUNC
21026,14,/,/,PUNC,,,,,,,,,PUNC,/,PUNC
21027,15,distinct,DISTINCT,NONLEX,,,,,,,,,NONLEX,DISTINCT,NONLEX
21028,16,>,>,PUNC,,,,,,,,,PUNC,>,PUNC
21029,17,это,ЭТО,SPRO inan sg nom ,,,о,т,э,,,,PART,ЭТО,PART
21030,18,обьяснить,ОБЬЯСНИТЬ,V pf - - inf - -,,,ь,т,и,н,с,я,V,ОБЬЯСНЕТЬ,V pf - - inf - -
21031,19,",",",",PUNC,,,,,,,,,PUNC,",",PUNC
21032,20,но,НО,CONJ,,,о,н,,,,,CONJ,НО,CONJ
21033,21,оно,ОНО,SPRO sg 3p n nom,,,о,н,о,,,,SPRO,ОНО,SPRO sg 3p n nom
21034,22,",",",",PUNC,,,,,,,,,PUNC,",",PUNC
21035,23,оно,ОНО,SPRO sg 3p n nom,,,о,н,о,,,,SPRO,ОНО,SPRO sg 3p n nom
21036,24,как-то,КАК-ТО,ADV -,,,о,т,,к,а,к,ADV,КАК-ТО,ADV -
21037,25,просто,ПРОСТО,ADV -,,,о,т,с,о,р,п,ADV,ПРОСТО,ADV -
21038,26,именно,ИМЕННО,PART,,,о,н,н,е,м,и,PART,ИМЕННО,PART
21039,27,чувствуется,ЧУВСТВОВАТЬСЯ,V ipf praes sg indic - 3p,,,я,с,т,е,у,в,V,ЧУВСТВОВАТЬСЯ,V ipf praes sg indic - 3p
21040,28,.,.,SENT,,,,,,,,,SENT,.,SENT
21041,,,,,,,,,,,,,,,
